담당자 이름,부서명,제목,등록일,전화번호,조회수,URL
강승철,다문화가족지원과,국제결혼중개업 현황(2016. 12월말 기준) 공시,2017-01-25,,870,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=704740
이병화,가족지원과,2017년도 아이돌봄 지원사업 안내(최종),2017-01-06,02)2100-6349,2712,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=704738
정진현,다문화가족지원과,국제결혼 피해예방 교육자료,2017-01-06,02-2100-6372,861,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=64
진채원,가족정책과,2017년 건강가정·다문화가족지원센터 통합서비스 사업안내,2016-12-30,02)2100-6327,5335,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=704704
진채원,가족정책과,2017년 건강가정지원센터 사업안내,2016-12-30,02)2100-6327,4830,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=704703
강훈구,가족지원과,2017년 한부모가족지원사업 안내,2016-12-30,02)2100-6345,6963,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=704699
강승철,다문화가족지원과,국제결혼중개업 현황(2016. 11월말 기준) 공시,2016-12-26,02)2100-6375,1422,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=704629
박서영,가족정책과,작은결혼 안내서(가이드북),2016-12-20,02)2100-6332,1098,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=704546
장서우,다문화가족정책과,2016 다문화가족 우수사례집,2016-12-12,02)2100-6365,6261,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=704482
강승철,다문화가족지원과,국제결혼중개업 현황(2016. 10월말 기준) 공시,2016-11-24,02)2100-6375,657,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=704311
강승철,다문화가족지원과,국제결혼중개업 현황(2016. 9월말 기준) 공시,2016-10-25,02)2100-6375,704,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=704106
강승철,다문화가족지원과,국제결혼중개업 현황(2016. 8월말 기준) 공시,2016-09-23,02)2100-6375,667,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=703732
정진현,다문화가족지원과,국제결혼중개업 이용자 피해예방 가이드,2016-09-20,02)2100-6378,522,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=703715
이영민,다문화가족정책과,2015년 다문화가족 통계,2016-09-06,02-2100-6366,2318,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=703650
강승철,다문화가족지원과,국제결혼중개업 현황(2016. 7월말 기준) 공시,2016-08-24,02)2100-6375,707,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=703533
권규진,가족지원과,2016 한부모가족을위한복지서비스 안내서(16.7월 업데이트버전),2016-08-03,02)2100-6346,1165,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=703415
강승철,다문화가족지원과,국제결혼중개업 현황(2016. 6월말 기준) 공시,2016-07-22,02)2100-6375,753,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=703333
강승철,다문화가족지원과,국제결혼중개업 현황(2016. 5월말 기준) 공시,2016-06-24,02)2100-6375,803,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=703061
조윤예,다문화가족과,2015 국민 다문화수용성 조사 결과보고서,2016-06-24,02-2100-6400,5792,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=701835
송재언,다문화가족정책과,2016년 다문화가족지원사업 사업안내,2016-06-15,02-2100-6367,2249,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=61
노현서,다문화가족정책과,다문화가족정책 기본계획,2016-06-15,02-2100-6362,12549,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=59
안석규,가족정책과,가족친화지수,2016-06-15,02-2100-6330,6177,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=3
안지영,가족정책과,2015년 가족실태조사,2016-06-15,02-2100-6331,15534,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=1
정명호,가족지원과,한부모가족복지시설 지원(지역별시설현황),2016-06-14,02-2100-6348,1349,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=17
강승철,다문화가족지원과,국제결혼중개업 현황(2016. 4월말 기준) 공시,2016-05-24,02)2100-6375,978,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=702559
강승철,다문화가족지원과,국제결혼중개업 현황(2016. 3월말 기준) 공시,2016-04-25,02)2100-6375,1198,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=702315
강승철,다문화가족지원과,국제결혼중개업 현황(2016. 2월말 기준) 공시,2016-03-23,02)2100-6375,1189,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=701902
권규진,가족지원과,2016 한부모가족을위한복지서비스 안내서(리플릿),2016-03-22,02)2100-6346,1817,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=701893
정명호,가족지원과,2015년말 한부모가족복지시설 현황,2016-03-11,02)2100-6348,777,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=701827
정재순,가족정책과,2016년_전국_가족사업_담당공무원_지침설명회,2016-03-03,02)2100-6324,1327,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=701780
강승철,다문화가족지원과,국제결혼중개업 현황(2016. 1월말 기준) 공시,2016-02-25,02)2100-6375,1556,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=701669
강훈구,가족정책과,"2016년도 건강가정, 다문화가족지원센터 통합서비스 사업안내",2016-02-22,02)2100-6334,3306,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=701650
강훈구,가족정책과,2016년도 건강가정지원센터 사업안내,2016-02-22,02)2100-6334,3038,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=701649
강승철,다문화가족지원과,국제결혼중개업 현황('15. 12월말 기준) 공시,2016-01-25,02)2100-6375,1339,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=701385
김희리,가족지원과,2016년도 한부모가족지원사업 안내,2015-12-31,02)2100-6342,5897,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=701270
박재영,가족지원과,(지침) 2016년도 아이돌봄 지원사업 안내,2015-12-31,02)2100-6350,3880,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=701277
강승철,다문화가족지원과,국제결혼중개업 현황('15. 11월말 기준) 공시,2015-12-24,02)2100-6375,1408,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=701161
강승철,다문화가족지원과,국제결혼중개업 현황('15. 10월말 기준) 공시,2015-11-24,02)2100-6375,1677,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=700941
강승철,다문화가족지원과,국제결혼중개업 현황('15. 9월말 기준) 공시,2015-10-23,02)2100-6375,1875,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=700446
강승철,다문화가족지원과,국제결혼중개업 현황('15. 8월말 기준) 공시,2015-09-23,02)2100-6375,1924,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=700275
이병화,다문화가족지원과,국제결혼중개업 표준약관 및 안내,2015-09-21,02)2100-6372,5484,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=700260
이병화,다문화가족지원과,국내결혼중개업 표준약관 및 안내,2015-09-21,02)2100-6372,3841,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=700259
강승철,다문화가족지원과,국제결혼중개업 현황('15. 7월말 기준) 공시,2015-08-26,02)2100-6375,1880,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=697018
최종락,다문화가족지원과,국제결혼중개업 현황공시('15.6월말기준),2015-07-23,02)2100-6375,1749,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=696861
안석규,가족정책과,제2차 건강가정기본계획 2015년 시행계획,2015-07-02,02)2100-6323,3520,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=700321
최종락,다문화가족지원과,국제결혼중개업 현황공시(15.5월말 기준),2015-07-01,02)2100-6375,1891,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=696662
윤지연,다문화가족정책과,2015년 다문화가족정책 시행계획,2015-06-15,02)2100-6364,7711,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=696597
최종락,다문화가족지원과,국제결혼중개업 현황공시(15.4월말 기준),2015-05-21,02)2100-6375,1895,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=696502
김대중,다문화가족지원과,국제결혼중개 실태조사 연구 보고서,2015-04-29,02)2100-6374,3998,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=696408
최종락,다문화가족지원과,국제결혼중개업 현황공시(15.3월말 기준),2015-04-27,02)2100-6375,2186,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=696355
이진주,가족정책과,(악보) 가족송(고마워요) 악보,2015-04-14,02)2100-6330,4187,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=696163
최종락,다문화가족지원과,국제결혼중개업 현황공시(15.2월말 기준),2015-03-26,02)2100-6375,2009,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=696042
이진주,가족정책과,(뮤직비디오) 가족사랑의날 캠페인송2 뮤직비디오,2015-03-26,02)2100-6330,2217,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=696037
이진주,가족정책과,(캠페인송) 가족사랑의 날 캠페인송-2,2015-03-25,02)2100-6330,1848,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=696034
이구성,가족정책과,2015년도 건강가정지원센터 사업안내,2015-03-10,02)2100-6327,4832,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=695818
박재영,가족지원과,2015년도 아이돌봄 지원사업 안내(지침),2015-02-28,02)2100-6350,5096,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=695771
최종락,다문화가족지원과,국제결혼중개업 현황공시(15.1월말 기준),2015-02-27,02)2100-6375,2306,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=695770
선강희,가족지원과,2015년도 한부모가족지원사업안내,2015-02-25,02)2100-6345,5666,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=695748
송재언,다문화가족정책과,2015년 다문화가족지원사업 안내,2015-02-13,02)2100-6367,4887,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=695715
최종락,다문화가족지원과,국제결혼중개업 현황공시(14.12월말 기준),2015-01-20,02)2100-6375,2170,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=695593
최종락,다문화가족지원과,국제결혼중개업 현황공시('14년도 11월말 기준),2014-12-22,02)2100-6375,2295,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=695500
최종락,다문화가족지원과,국제결혼업체 현황 공시(2014년 10월말 기준),2014-11-21,02)2100-6375,2242,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=695297
이진주,가족정책과,"(리플릿) 가족사랑의날, 일가정톡톡",2014-11-17,02)2100-6330,1722,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=695263
최종락,다문화가족지원과,국제결혼 중개업 현황 공시('14년 9월말 기준),2014-10-24,02)2100-6375,2349,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694991
이진주,가족정책과,(포스터) 가족사랑의 날,2014-09-29,02)2100-6330,2341,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694874
이진주,가족정책과,(웹툰) 가족사랑의 날,2014-09-29,02)2100-6330,1445,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694873
이진주,가족정책과,(홍보영상) 가족사랑의 날,2014-09-29,02)2100-6330,1209,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694875
최종락,다문화가족지원과,국제결혼중개업 현황 공시(2014.8월말 기준),2014-09-19,02)2100-6375,2383,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694834
최종락,다문화가족지원과,국제결혼중개업 현황 공시(2014.7월말 기준),2014-08-22,02)2100-6375,2454,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694748
안석규,가족정책과,제2차 건강가정기본계획 2014년 시행계획,2014-07-21,02)2100-6323,2388,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=700320
정재욱,다문화가족지원과,국제결혼중개업체 공시('14.6월말 기준),2014-07-15,02)2100-6375,3470,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694583
정재욱,다문화가족지원과,국제결혼중개업 공시('14.5월 기준),2014-06-17,02)2100-6375,2616,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694514
신동기,다문화가족정책과,2014년 다문화가족정책 시행계획,2014-06-12,02)2100-6365,10497,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694499
정재욱,다문화가족지원과,국제결혼중개업 공시('14.4월 기준),2014-05-19,02)2100-6375,2425,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694318
송재언,다문화가족정책과,2014년 다문화가족지원 사업안내,2014-04-17,02)2075-8729,3315,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694247
정재욱,다문화가족지원과,국제결혼중개업 공시('14.3월 기준),2014-04-16,02)2075-8736,5047,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694240
이구성,가족정책과,2014년 건강가정지원센터 사업 지침,2014-04-02,02)2075-8706,4517,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694203
이구성,가족정책과,2014년 건강가정지원센터 사업 지침,2014-04-02,02)2075-8706,3053,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=694202
정재욱,다문화가족지원과,국제결혼중개 표준약관,2014-03-28,02)2075-8736,4935,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693995
정재욱,다문화가족지원과,국제결혼중개업체 이용자 피해예방 홍보,2014-03-27,02)2075-8736,3074,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693992
정재욱,다문화가족지원과,국제결혼중개  소비자 피해예방가이드(한국소비자원),2014-03-25,02)2075-8736,2080,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693975
정재욱,다문화가족지원과,국제결혼이민비자 사증발급 기준 변경사항,2014-03-25,02)2075-8736,2985,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693974
정재욱,다문화가족지원과,국제결혼중개 소비자분쟁 예방가이드,2014-03-24,02)2075-8736,2495,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693965
강수진,가족지원과,2014년 아이돌봄 지원사업 지침,2014-03-18,02)2075-8768,3793,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693944
강수진,가족지원과,2014년 아이돌봄 지원사업 지침,2014-03-18,02)2075-4500,3546,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693943
정재욱,다문화가족지원과,국제결혼중개업 공시('14. 2월기준),2014-03-18,02)2075-8736,3901,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693941
정재욱,다문화가족지원과,국제결혼중개업 공시('14.1월 기준),2014-02-19,02)2075-8736,2638,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693710
김은경,가족지원과,2014년 한부모가족지원사업 안내 지침,2014-02-18,02)2075-8713,9899,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693703
정재욱,다문화가족지원과,국제결혼중개업 공시('13.12월 기준),2014-01-20,02)2075-8736,2521,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693596
박우열,가족정책과,제2차 건강가정기본계획 2013년 시행계획,2014-01-20,02)2075-8705,3062,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693594
박우열,가족정책과,제2차 건강가정기본계획(2011~2015),2014-01-20,02)2075-8705,2864,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693593
정재욱,다문화가족지원과,국제결혼중개업 공시(13.12월 기준),2014-01-15,02)2075-8736,2333,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693579
정재욱,다문화가족지원과,「결혼중개업법」 관련 각종 서식,2014-01-03,02)2075-8730,3824,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693542
김지연,가족정책과,2013년 가족친화인증기업 사례집,2013-12-19,02)2075-8707,5166,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693490
정재욱,다문화가족지원과,국제결혼중개업 11월 공시(전국),2013-12-11,02)2075-8730,2948,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693449
정재욱,다문화가족지원과,국제결혼중개업 10월 공시(전국),2013-11-13,02)2075-8736,2776,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693214
이조영,다문화가족정책과,다문화가족지원센터 통번역전담인력 및 이중언어강사 배치현황,2013-10-30,02)2075-8724,3293,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=693020
정재욱,다문화가족지원과,다문화가정 대상 소비자상담 리플렛,2013-10-21,02)2075-8730,3385,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=692979
정재욱,다문화가족지원과,국제결혼중개업 9월 공시(전국),2013-10-15,02)2075-8730,3244,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=692962
정재욱,다문화가족지원과,국제결혼중개업 8월 공시(전국),2013-09-27,02)2075-8730,3066,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=692903
박우열,가족정책과,제2차 건강가정기본계획,2013-08-30,02)2075-8705,9418,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=692567
윤광호,다문화가족지원과,국제결혼중개업 7월 공시(전국),2013-08-07,02)2075-8736,3343,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=692270
신봉규,다문화가족정책과,2013년 다문화가족지원센터 현황,2013-08-01,02)2075-8729,4090,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=692240
이조영,다문화가족정책과,2013년 다문화가족정책 시행계획,2013-07-05,02)2075-8724,12003,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=692010
강인숙,다문화가족지원과,청소년다문화수용성조사연구,2013-06-13,02)2075-8737,3094,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=691893
강인숙,다문화가족지원과,국민다문화수용성 조사연구,2013-06-13,02)2075-8737,6813,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=691892
오동훈,다문화가족지원과,2013년 다문화가족지원서비스 안내,2013-05-15,02-2075-8734,4279,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=691710
이조영,다문화가족정책과,2012년 다문화가족 실태조사 연구,2013-04-23,02)2075-8724,15982,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=691581
윤광호,다문화가족지원과,2013년 3월 지방자치단체 국제결혼중개업 공시현황(2013.2.28 기준),2013-03-19,02)2075-8736,5297,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=690831
김지연,가족정책과,2012년 가족친화지수 조사 보고서,2013-03-07,02)2075-8707,4719,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=690693
이시영,가족지원과,2013년도 건강가정지원센터 사업안내,2013-03-05,02)2075-8714,6436,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=690660
선강희,가족지원과,2013년도 한부모가족지원사업 안내 지침입니다.,2013-02-25,02)2075-8713,11335,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=690617
안일환,가족정책과,2013년도 아이돌봄 지원사업 안내,2013-02-07,02)2075-8703,2944,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=690355
안일환,가족정책과,2013년도 아이돌봄 지원사업 안내,2013-02-07,02)2075-8703,5445,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=690354
신봉규,다문화가족정책과,2013년 다문화가족지원 사업안내,2013-01-21,02)2075-8729,8243,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=690290
김지연,가족정책과,2012년 가족친화인증기업 사례집,2013-01-02,02)2075-8707,3499,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=690191
강인숙,다문화가족지원과,국제결혼중개업이용자피해예방가이드,2012-12-07,02)2075-8737,3070,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=690027
강인숙,다문화가족지원과,혼인 등 가족관계 등록관련 제도의 주요 국가간 비교를 통한 제도개선 방안연구,2012-11-22,02)2075-8737,6509,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=689951
강인숙,다문화가족지원과,국제결혼중개업 이용자 피해예방 매뉴얼 개발,2012-11-22,02)2075-8737,7932,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=689950
강인숙,다문화가족지원과,국제결혼 중개업 이용자 피해예방 매뉴얼 개발,2012-11-22,02)2075-8737,2414,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=689949
강인숙,다문화가족지원과,혼인 등 가족관계 등록관련 제도의 주요 국가간 비교를 통한 제도개선방안 연구,2012-11-22,02)2075-8737,2571,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=689948
강인숙,다문화가족지원과,결혼중개업의 관리에 관한법령 개정안내(2012.8.2 시행),2012-08-13,02)2075-8737,7215,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=688788
안석규,가족정책과,제2차 건강가정기본계획 2012년 시행계획,2012-08-01,02)2100-6323,2475,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=700319
신봉규,다문화가족정책과,2012년 다문화가족지원센터 현황,2012-07-17,02)2075-8729,9184,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=642944
문은지,다문화가족과,2011년 및 2012년 다문화가족정책 시행계획,2012-06-04,02)2075-8724,15922,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=642664
윤정호,다문화가족과,국민다문화수용성 조사 연구,2012-05-07,02)2075-8731,7980,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=642484
김지연,가족정책과,가족친화 인증 기업 사례집 (2008~2011),2012-05-07,02)2075-8707,3748,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=642485
김지연,가족정책과,가족친화지수 측정 및 분석 보고서 (2008~2011),2012-03-26,02)2075-8707,4731,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=642177
윤정호,다문화가족과,다문화이해제고를 위한 교육프로그램,2012-03-20,02)2075-8731,4980,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=642145
안일환,가족지원과,2012년도 한부모가족지원사업안내,2012-03-07,02)2075-8713,11839,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=642025
김유호,가족정책과,가족품앗이 및 공동육아나눔터 사업 운영 메뉴얼,2012-02-18,02)2075-8720,9174,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=641917
이시영,가족지원과,2012년 건강가정지원센터 사업안내,2012-02-08,02)2075-8714,8885,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=641845
이시영,가족지원과,12년_건강가정지원센터_사업안내,2012-02-08,02)2075-8714,3497,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=641844
김지연,가족정책과,2011년도 가족친화수준 조사보고서,2012-02-07,02)2075-8707,7056,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=641827
김민성,가족정책과,2012년 아이돌봄 지원사업 안내,2012-02-02,02)2075-8706,7269,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=641750
신봉규,다문화가족과,2012년 다문화가족지원 사업안내,2012-02-01,02)2075-8729,3555,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=641741
이재웅,가족정책과,제5호 가족정책브리프 (결혼준비교육 효과),2011-12-28,02)2075-8702,8287,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=641525
이재웅,가족정책과,제4호 가족정책브리프(부모교육),2011-12-28,02)2075-8702,7995,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc503&bbtSn=641524
